iata_code,avg_temperature,avg_precipitation,avg_wind_speed
EYW,25.106027397260277,1.515013698630137,19.972054794520545
FAR,5.725753424657533,2.055123287671233,12.9613698630137
FAT,17.88191780821918,1.308191780821918,7.343013698630137
FAY,17.00191780821918,3.3099452054794525,11.955068493150684
FLG,10.027397260273972,2.082657534246575,9.29095890410959
FLL,24.290958904109587,2.463068493150685,13.934246575342465
FLO,17.827671232876714,3.1428219178082193,11.264383561643836
FNT,9.12027397260274,2.3732328767123287,12.801369863013699
FSD,7.283287671232877,2.3796712328767122,16.089041095890412
FSM,16.248493150684933,2.457178082191781,9.354794520547944
FWA,10.334794520547945,2.75427397260274,14.082465753424659
GCC,8.517808219178082,1.2313698630136987,18.463835616438356
GEG,9.09095890410959,1.7602465753424659,11.932602739726027
GFK,5.1726027397260275,1.6043561643835618,13.872602739726027
GGG,18.936712328767122,2.255287671232877,10.875616438356163
GJT,10.303835616438356,0.8581643835616439,6.368493150684931
GNV,20.395068493150685,2.824630136986301,9.505753424657534
FCA,6.747671232876711,2.2186301369863015,5.311506849315068
GPT,19.977260273972604,2.647561643835616,10.512602739726029
GRB,8.286575342465753,2.7403287671232874,13.23013698630137
GRK,18.6786301369863,1.8654246575342466,14.185479452054796
GRR,9.301917808219178,2.587424657534247,12.68876712328767
GSO,15.00767123287671,3.231780821917808,9.88
GSP,15.913972602739728,3.0689041095890413,8.297260273972602
GTF,6.692054794520549,1.3113698630136985,12.83369863013699
GTR,18.03945205479452,2.8464657534246576,9.303013698630139
GUC,4.484657534246575,1.3986301369863015,6.266575342465754
HDN,5.007945205479452,1.6388767123287669,6.726027397260274
HLN,6.246301369863014,1.7492602739726029,8.266301369863013
HOU,20.44109589041096,2.619123287671233,12.274520547945205
HPN,11.277808219178084,3.6082191780821917,11.159726027397259
HRL,23.37835616438356,1.332904109589041,17.22
HSV,16.793150684931508,3.0355616438356163,9.818904109589042
HTS,13.464931506849315,2.781945205479452,9.757260273972602
IAD,13.873972602739727,2.687287671232877,10.32794520547945
IAH,20.315616438356162,2.408657534246575,11.432876712328767
ICT,13.692876712328767,2.362054794520548,16.086575342465753
IDA,8.38246575342466,1.3026575342465754,10.223561643835618
ILM,17.910684931506847,3.993123287671233,12.554246575342466
IND,11.764109589041094,2.908109589041096,12.159178082191781
IPL,23.865753424657534,0.21572602739726027,8.40876712328767
ISP,12.406849315068493,3.5319726027397262,17.69150684931507
ITH,8.403013698630136,3.2285479452054795,11.253424657534245
IYK,18.06027397260274,0.3564109589041096,8.878630136986303
JAC,4.413698630136986,2.3917808219178083,7.057534246575343
JAN,18.644109589041093,2.7296712328767123,10.0413698630137
JAX,20.417260273972605,2.926767123287671,10.27123287671233
JFK,12.573150684931507,3.3127945205479454,13.819452054794521
LAN,9.271780821917808,2.4382739726027394,12.847397260273974
LAS,20.30712328767123,0.3226575342465754,8.646301369863014
LAX,17.383835616438354,0.9470958904109591,8.374246575342466
LBB,15.403013698630138,1.4720273972602738,17.116986301369863
LCH,20.288219178082194,3.0042465753424654,11.264657534246576
LEX,13.432876712328767,2.730630136986301,10.225479452054795
LFT,20.383287671232875,2.841917808219178,11.497260273972604
LGA,12.213972602739727,3.3127945205479454,13.819452054794521
LGB,17.772054794520546,0.7709863013698631,9.672328767123286
LIT,17.382739726027395,2.3483561643835618,10.332054794520548
LMT,9.197534246575342,1.8787671232876713,7.924657534246576
LNK,10.641643835616438,2.053671232876712,16.471232876712328
